nuts,Spring Fire Weather Index (-) (1981 - 2010)
ITH4,3.193904370438968
ITH5,6.645957269251825
ITI1,5.790277811919418
ITI2,6.203101791783516
ITI3,5.480987674179962
ITI4,5.497742842547688
LI00,1.273797095688454
FI1D,2.6370510402468033
TR82,6.152171247385423
TR83,6.196081855406834
TR90,1.8203089709359674
TRA1,3.1244160756364256
TRA2,3.5833324684325576
PL43,7.12065130328919
PL51,5.891289756037863
PL52,6.042934868703502
PL61,6.348761864945703
PL62,5.40150449525821
PL63,5.24176547189841
PL71,6.650302895681741
PL72,5.7836001436683455
PL81,5.889751421321815
PL82,4.481535578172244
PL84,5.779358474470301
PL91,6.289487518610022
PL92,6.1871546906314725
PT11,7.890572238920252
PT15,14.873419603396586
TRB1,7.783915468457685
TRB2,4.71623474717165
TRC1,15.093901404376084
RS12,9.367722527649493
RS21,5.790976461068569
RS22,6.401286084481433
SE11,4.21184575200271
SE12,5.355938837410372
NL33,4.62729154412541
NL34,4.6548700729325745
NL41,5.396504385204682
NL42,5.139344528753609
PL21,4.080621920229359
UKM6,1.8955344762741124
TR22,9.734674222996851
TRC2,18.650274028449736
TRC3,13.353851068701008
UKC1,3.332822146257048
UKC2,2.989902461288654
UKD1,2.345660220778647
UKD3,3.2299354554392266
UKD4,2.7409814252097617
UKD6,3.418757279397306
UKD7,3.026535107693314
UKE1,4.282213984224834
UKE2,3.499907123310302
UKE3,4.672880374552468
RO41,7.800692907155973
RO42,5.882162641938288
RS11,8.328792447850088
TR41,10.981963586939015
TR42,5.557465930681934
TR51,13.412408951362277
TR52,15.037694942675715
TR61,9.382724228542628
TR62,8.831603364573105
TR63,10.537022137267495
TR71,14.035261092151305
TR72,8.27996674510709
TR81,3.5677637454059066
UKK1,4.661247402241713
UKK2,4.083236750032548
UKK3,3.580490088404023
UKK4,3.4545305236412274
UKL1,2.7948281174006735
UKL2,3.1961061581586003
UKM5,2.1811417287753794
UKM7,2.363704525435316
UKM8,2.408662445363523
UKM9,2.4086238417232226
UKN0,2.4402397432963476
SE21,5.105066482893782
SE22,4.896004026800781
SE23,4.549197950617286
SE31,4.2961441261494056
SE32,3.196868169470712
SE33,2.4052631475057775
SI03,4.377686604199681
SI04,3.3481366770415026
SK01,8.7228002192743
SK02,7.49777079556667
SK03,4.568943317517513
SK04,4.782718498154225
TR10,7.137917720156381
TR21,9.192932764638442
UKE4,3.8966114369621234
UKF1,4.656900683035927
UKF2,5.217630236101152
UKF3,5.067973641419242
UKG1,4.49975542378258
UKG2,3.7835724233221
UKG3,4.536805280252597
UKH1,4.961234831699443
UKH2,5.536630604221198
UKH3,5.070453192554118
UKI3,5.7542056991980415
UKI4,5.7542056991980415
UKI5,5.540025809660379
UKI6,5.499824574653208
UKI7,5.514906875903172
UKJ1,5.204699646993553
UKJ2,4.841086726737307
UKJ3,4.880596087030239
UKJ4,4.557912921124191
NO09,3.1084636389443983
NO0A,1.3663035849359269
NO0B,0.5275731340922829
HR05,5.599207345262022
HR06,5.940634001830823
NO02,2.6618413861740726
NO06,1.5453234143955608
NO07,0.787219673425461
NO08,3.4877200514377904
