nuts,August Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
ITI2,0.3027090755601724
ITI3,0.321652523552378
ITI4,0.20240627092619737
LI00,1.0000783284505208
FI1D,0.9426137124498685
TR82,0.2557367257773876
TR83,0.19617258760457237
TR90,0.6566570686797301
TRA1,0.11091535007581114
TRA2,0.2998724470535914
PL43,0.7012134633337458
PL51,0.6705336534107725
PL52,0.7361530919869741
PL61,0.7279207686583201
PL62,0.659029870852828
PL63,0.9539937569449345
PL71,0.6712096765637398
PL72,0.7658654888470967
PL81,0.5662281431257725
PL82,0.6246581011762221
PL84,0.6564850174511473
PL91,0.6766688754161199
PL92,0.6841881290078163
PT11,0.15704962089657784
PT15,0.03498870730400085
TRB1,0.028099937364459038
TRB2,0.022202503681182862
TRC1,0.020936050762732823
RS12,0.3428494431078434
RS21,0.42280494834606847
RS22,0.3638235592283309
SE11,0.7015914199252923
SE12,0.9730751739193996
NL33,0.7266875038544337
NL34,0.7110095803936323
NL41,0.6815364384402831
NL42,0.5342117051283518
PL21,0.797554719944795
UKM6,1.0541014591852824
TR22,0.13566355633859833
TRC2,0.016999067676564058
TRC3,0.01333154613773028
UKC1,0.7131554854412874
UKC2,0.7896307782580455
UKD1,1.0276431490977604
UKD3,0.8069413853188355
UKD4,0.8347366576393446
UKD6,0.7725969158113003
UKD7,0.8073714474836985
UKE1,0.5180794348319372
UKE2,0.7001878239214421
UKE3,0.5939572634796302
RO41,0.5139608525981506
RO42,0.5295664173861344
RS11,0.2716150435308615
TR41,0.22146432120352982
TR42,0.29330796053012215
TR51,0.10987414146463076
TR52,0.07582710531229774
TR61,0.13383902196461955
TR62,0.148763258724163
TR63,0.10350201694915692
TR71,0.07728882565473517
TR72,0.10996383746775489
TR81,0.301903697475791
UKK1,0.9082476889093717
UKK2,0.8182239554822445
UKK3,0.7497851256281137
UKK4,0.8055967171986897
UKL1,0.877073856939872
UKL2,0.709893049299717
UKM5,0.8452827151864767
UKM7,0.9619317353392641
UKM8,0.8833487729231516
UKM9,0.9705552225311597
UKN0,1.0583785659323135
SE21,0.9869654583434264
SE22,0.879573193192482
SE23,0.9799330910046895
