"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Spain","ESP","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.82382580545057","","","","","","","","","","3.88895521579431","","","","","","","","","","","","","","","3.9984263212818","","","","","","","","",
"Estonia","EST","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.74901077917125","","","","","","","","","","2.52199925489413","","","","","","","","","","","","","","","2.61109485088202","","","","","","","","",
"Ethiopia","ETH","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","",
"European Union","EUU","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.30001131779683","","","","","","","","","","4.4386504634364","","","","","","","","","","","","","","","4.61039695826246","","","","","","","","",
"Fragile and conflict affected situations","FCS","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9997140782166","","","","","","","","","","2.10968080683104","","","","","","","","","","","","","","","2.12357469280962","","","","","","","","",
"Finland","FIN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49583011753671","","","","","","","","","","4.58352758061439","","","","","","","","","","","","","","","4.55613658391432","","","","","","","","",
"Fiji","FJI","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1062970061758","","","","","","","","","","17.9816564587729","","","","","","","","","","","","","","","18.2646769725551","","","","","","","","",
"France","FRA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.13522605910463","","","","","","","","","","2.09923093271042","","","","","","","","","","","","","","","2.08138306935594","","","","","","","","",
"Faroe Islands","FRO","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.78552503999881","","","","","","","","","","2.7681838549673","","","","","","","","","","","","","","","2.67390517589443","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3124798467802","","","","","","","","","","25.55096984345","","","","","","","","","","","","","","","23.2202307154668","","","","","","","","",
"Gabon","GAB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8957240347949","","","","","","","","","","10.5622148242725","","","","","","","","","","","","","","","9.52729723911365","","","","","","","","",
"United Kingdom","GBR","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.686079581576","","","","","","","","","","2.71336485762352","","","","","","","","","","","","","","","2.74511866286226","","","","","","","","",
"Georgia","GEO","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00938603415994","","","","","","","","","","3.25901526703938","","","","","","","","","","","","","","","3.85225301774936","","","","","","","","",
"Ghana","GHA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46076140524035","","","","","","","","","","2.36247668158556","","","","","","","","","","","","","","","2.1287841350265","","","","","","","","",
"Gibraltar","GIB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9497089771764","","","","","","","","","","56.4581037900881","","","","","","","","","","","","","","","56.4066671990183","","","","","","","","",
"Guinea","GIN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05368586271624","","","","","","","","","","2.02835212317384","","","","","","","","","","","","","","","2.34686602584341","","","","","","","","",
"Gambia, The","GMB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.60595975789868","","","","","","","","","","5.8347611022273","","","","","","","","","","","","","","","4.31012111116809","","","","","","","","",
"Guinea-Bissau","GNB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.36818219785526","","","","","","","","","","3.74642440150521","","","","","","","","","","","","","","","4.53961279050344","","","","","","","","",
"Equatorial Guinea","GNQ","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70214092476617","","","","","","","","","","5.46271087870203","","","","","","","","","","","","","","","5.66273195374869","","","","","","","","",
"Greece","GRC","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.08824100929482","","","","","","","","","","5.10886818734192","","","","","","","","","","","","","","","5.10819938614292","","","","","","","","",
"Grenada","GRD","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.16222447773763","","","","","","","","","","5.73446806075132","","","","","","","","","","","","","","","5.85477777203569","","","","","","","","",
"Greenland","GRL","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9210901263992","","","","","","","","","","58.3101064480803","","","","","","","","","","","","","","","59.8627167311208","","","","","","","","",
"Guatemala","GTM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.245999926492002","","","","","","","","","","0.229077578140382","","","","","","","","","","","","","","","0.206295001583779","","","","","","","","",
