"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Fragile and conflict affected situations","FCS","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.0381818461628","-29.0650308623931","-23.1031254195419","-20.8617676246886","-13.4421493259661","-13.2917154517293","-22.6839902483316","-18.8141355900664","-16.9098635834582","-19.747096555769","-20.9368915165058","-24.3462307744921","-24.6360608549382","-24.9919347226168","-24.9401286058884","-27.6634557037431","-31.2243135652888","-23.3395376608884","-27.0104851771971","-40.5584185028491","","","","","","","","","","","","","","",
"Fiji","FJI","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.7016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-39.6986302782036","-35.6173393831548","-40.2227635010094","-47.466045717904","-48.8540506883998","-47.8223446136475","-49.4637134273878","-54.1469454748217","-55.0776981924168","-58.1301502580161","-49.0511731882112","-54.6707852640659","-60.2645011099362","-62.4429411486047","-63.8771679013411","-64.8813345343308","-69.3892716245236","-68.5188924214821","-68.9030912352135","-63.9204520539685","","","","","","","","","","","","","","",
"Faroe Islands","FRO","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-500.8757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.92169927500147","3.89180309431556","3.3100579604194","2.25975111735135","2.07769739182283","2.45311693495977","2.21738339104033","1.9259921351246","1.35340695460144","1.10227061542868","0.422457399394748","-0.0901564667984161","-0.982275155909661","-1.3448783109005","-2.42809365918272","-2.95822914324097","-3.15812658781567","-3.52441623249546","-3.96217138307992","-4.07913785249313","","","","","","","","","","","","","","",
"Georgia","GEO","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-19.0227","","","","","","","","","","","","","","","","","","","","","","","","","","","",
